0;A banana é o fruto do maior arbusto do mundo.
1;A batata é o segundo alimento mais consumido no mundo, perdendo apenas para o arroz.
2;A cebola é o alimento mais consumido no mundo, seguida da batata.
3;A laranja é o fruto mais consumido no Brasil.
4;A maçã é o segundo fruto mais consumido no mundo, perdendo apenas para a banana.
5;A melancia é o fruto com mais água do mundo.
6;A pera é o fruto que mais tem fibras.
7;A uva é o fruto que mais tem açúcar.
8;A goiaba é o fruto da maior árvore do mundo.
9;A moranga é o fruto do maior vegetal do mundo.
10;A cenoura é o vegetal mais consumido no mundo.
11;A beterraba é o segundo vegetal mais consumido no mundo, perdendo apenas para a cenoura.
12;A abóbora é o maior vegetal do mundo.
13;A alface é o vegetal com menos calorias.
14;A batata-doce é o segundo maior vegetal do mundo, perdendo apenas para a abóbora.
15;A berinjela é o vegetal com mais fibras.
16;A couve é o vegetal com mais vitamina C.
17;A chuchu é o vegetal com menos água.
18;A batata é o vegetal com mais carboidratos.
19;A cebola é o vegetal com mais proteínas.
20;A abóbora é o vegetal com mais fibras.
21;A beterraba é o vegetal com mais ferro.
22;A cenoura é o vegetal com mais vitamina A.
23;A batata-doce é o vegetal com mais vitamina B6.
24;A chuchu é o vegetal com menos calorias.
25;As cenouras são vegetais e não frutas.
26;A cenoura é a raiz da planta da cenoura.
27;As cenouras são comestíveis, mas não são uma fruta.
28;Cenouras são ricas em vitamina A.
29;A cenoura é o vegetal mais consumido no mundo.
30;A cenoura é um tubérculo.
31;A cenoura é um legume.
32;A cenoura é um vegetal da família das umbelíferas.
33;A cenoura é um alimento muito saudável.
34;A cenoura é uma hortaliça.
35;A cenoura é uma raiz.
36;A cenoura é um vegetal da família das apiáceas.
37;A cenoura é uma planta da família das umbelíferas.
38;A cenoura é uma planta da família das apiáceas.
39;A cenoura é um vegetal da família das brassicáceas.
40;A cenoura é uma planta da família das solanáceas.
41;A cenoura é uma planta da família das cucurbitáceas.
42;A batata é a raiz mais consumida no mundo.
43;A cenoura é a raiz mais consumida no Brasil.
44;A laranja é a fruta mais consumida no mundo.
45;A banana é a fruta mais consumida no Brasil.
46;A goiaba é a fruta nativa do Brasil.
47;A uva é a fruta mais consumida no mundo.
48;A pera é a segunda maior fruta do mundo.
49;A maçã é a terceira maior fruta do mundo.
50;A watermelon é a quarta maior fruta do mundo.
51;A morango é a quinta maior fruta do mundo.
52;A cereja é a fruta mais consumida no mundo.
53;A framboesa é a segunda fruta mais consumida no mundo.
54;A blueberry é a terceira fruta mais consumida no mundo.
55;A laranja é a quarta fruta mais consumida no mundo.
56;A grapefruit é a quinta fruta mais consumida no mundo.
57;A melancia é a sexta fruta mais consumida no mundo.
58;A banana é a sétima fruta mais consumida no mundo.
59;A pêra é a oitava fruta mais consumida no mundo.
60;A maçã é a nona fruta mais consumida no mundo.
61;A morango é a décima fruta mais consumida no mundo.
62;As frutas cítricas são as mais consumidas no mundo.
63;A acerola é a fruta com maior teor de vitamina C.
64;A goiaba é a fruta com maior teor de vitamina A.
65;A laranja é a fruta com maior teor de vitamina B.
66;A uva é a fruta com maior teor de vitamina E.
67;A banana é a fruta com maior teor de potássio.
68;A maçã é a fruta com maior teor de fibras.
69;A morango é a fruta com maior teor de água.
70;A cereja é a fruta com maior teor de açúcar.
71;A framboesa é a fruta com maior teor de proteínas.
72;A blueberry é a fruta com maior teor de antioxidantes.
73;A laranja é a fruta com maior teor de vitamina C.
74;A grapefruit é a fruta com maior teor de vitamina A.
75;A pêra é a fruta com maior teor de vitamina B.
76;A melancia é a fruta com maior teor de vitamina E.
77;A banana é a fruta com maior teor de potássio.
78;A maçã é a fruta com maior teor de fibras.
79;A morango é a fruta com maior teor de água.
80;A cereja é a fruta com maior teor de açúcar.
81;A framboesa é a fruta com maior teor de proteínas.
82;A blueberry é a fruta com maior teor de antioxidantes.
